fundamental_id,company_id,name,cik,ticker,start_date,end_date,months,fiscal_year,fiscal_period,filing_date,cashandequivalents,restrictedcash,shortterminvestments,notereceivable,accountsreceivable,netinventory,prepaidexpenses,currentdeferredtaxassets,othercurrentassets,othercurrentnonoperatingassets,totalcurrentassets,grossppe,accumulateddepreciation,netppe,longterminvestments,noncurrentnotereceivables,goodwill,intangibleassets,noncurrentdeferredtaxassets,employeebenefitassets,othernoncurrentassets,othernoncurrentnonoperatingassets,totalnoncurrentassets,totalassets,shorttermdebt,accountspayable,accruedexpenses,customerdeposits,dividendspayable,currentdeferredrevenue,currentdeferredtaxliabilities,currentemployeebenefitliabilities,othertaxespayable,othercurrentliabilities,othercurrentnonoperatingliabilities,totalcurrentliabilities,longtermdebt,capitalleaseobligations,assetretirementandlitigationobligation,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othernoncurrentliabilities,othernoncurrentnonoperatingliabilities,totalnoncurrentliabilities,totalliabilities,commitmentsandcontingencies,redeemablenoncontrollinginterest,totalpreferredequity,commonequity,retainedearnings,treasurystock,aoci,otherequity,totalcommonequity,totalequity,noncontrollinginterests,totalequityandnoncontrollinginterests,totalliabilitiesandequity
fun_3rpqVQ,com_NX6GzO,Apple Inc,320193.0,AAPL,,2022-06-25,,2022,Q3,2022-07-28 22:06:56 +0000,27502000000.0,,20729000000.0,20439000000.0,21803000000.0,5433000000.0,,,16386000000.0,,112292000000.0,,,40335000000.0,131077000000.0,,,,,,52605000000.0,,183682000000.0,336309000000.0,24991000000.0,48343000000.0,,,,7728000000.0,,,,48811000000.0,,129873000000.0,94700000000.0,,,,,,53629000000.0,,148329000000.0,278202000000.0,0.0,,,62115000000.0,5289000000.0,,-9297000000.0,,58107000000.0,58107000000.0,,58107000000.0,336309000000.0
fun_Ebk9BQ,com_NX6GzO,Apple Inc,320193.0,AAPL,,2022-03-26,,2022,Q2,2022-04-28 22:03:58 +0000,28098000000.0,,23413000000.0,24585000000.0,20815000000.0,5460000000.0,,,15809000000.0,,118180000000.0,,,39304000000.0,141219000000.0,,,,,,51959000000.0,,193178000000.0,350662000000.0,16658000000.0,52682000000.0,,,,7920000000.0,,,,50248000000.0,,127508000000.0,103323000000.0,,,,,,52432000000.0,,155755000000.0,283263000000.0,0.0,,,61181000000.0,12712000000.0,,-6494000000.0,,67399000000.0,67399000000.0,,67399000000.0,350662000000.0
fun_3rRxJ2,com_NX6GzO,Apple Inc,320193.0,AAPL,,2021-12-25,,2022,Q1,2022-01-27 23:00:58 +0000,37119000000.0,,26794000000.0,35040000000.0,30213000000.0,5876000000.0,,,18112000000.0,,153154000000.0,,,39245000000.0,138683000000.0,,,,,,50109000000.0,,188792000000.0,381191000000.0,16169000000.0,74362000000.0,,,,7876000000.0,,,,49167000000.0,,147574000000.0,106629000000.0,,,,,,55056000000.0,,161685000000.0,309259000000.0,0.0,,,58424000000.0,14435000000.0,,-927000000.0,,71932000000.0,71932000000.0,,71932000000.0,381191000000.0
fun_03v6jd,com_NX6GzO,Apple Inc,320193.0,AAPL,,2022-09-24,,2022,FY,2022-10-27 22:01:14 +0000,23646000000.0,,24658000000.0,32748000000.0,28184000000.0,4946000000.0,,,21223000000.0,,135405000000.0,,,42117000000.0,120805000000.0,,,,,,54428000000.0,,175233000000.0,352755000000.0,21110000000.0,64115000000.0,,,,7912000000.0,,,,60845000000.0,,153982000000.0,98959000000.0,,,,,,49142000000.0,,148101000000.0,302083000000.0,0.0,,,64849000000.0,-3068000000.0,,-11109000000.0,,50672000000.0,50672000000.0,,50672000000.0,352755000000.0
fun_Dkmp04,com_NX6GzO,Apple Inc,320193.0,AAPL,,2021-06-26,,2021,Q3,2021-07-27 18:03:42 +0000,34050000000.0,,27646000000.0,16433000000.0,17475000000.0,5178000000.0,,,13641000000.0,,114423000000.0,,,38615000000.0,131948000000.0,,,,,,44854000000.0,,176802000000.0,329840000000.0,16039000000.0,40409000000.0,,,,7681000000.0,,,,43625000000.0,,107754000000.0,105752000000.0,,,,,,52054000000.0,,157806000000.0,265560000000.0,0.0,,,54989000000.0,9233000000.0,,58000000.0,,64280000000.0,64280000000.0,,64280000000.0,329840000000.0
fun_qRedkQ,com_NX6GzO,Apple Inc,320193.0,AAPL,,2021-03-27,,2021,Q2,2021-04-28 18:02:54 +0000,38466000000.0,,31368000000.0,14533000000.0,18503000000.0,5219000000.0,,,13376000000.0,,121465000000.0,,,37815000000.0,134539000000.0,,,,,,43339000000.0,,177878000000.0,337158000000.0,13003000000.0,40127000000.0,,,,7595000000.0,,,,45660000000.0,,106385000000.0,108642000000.0,,,,,,52953000000.0,,161595000000.0,267980000000.0,0.0,,,54203000000.0,15261000000.0,,-286000000.0,,69178000000.0,69178000000.0,,69178000000.0,337158000000.0
fun_kpm2eP,com_NX6GzO,Apple Inc,320193.0,AAPL,,2020-12-26,,2021,Q1,2021-01-27 18:03:06 +0000,36010000000.0,,40816000000.0,31519000000.0,27101000000.0,4973000000.0,,,13687000000.0,,154106000000.0,,,37933000000.0,118745000000.0,,,,,,43270000000.0,,162015000000.0,354054000000.0,12762000000.0,63846000000.0,,,,7395000000.0,,,,48504000000.0,,132507000000.0,99281000000.0,,,,,,56042000000.0,,155323000000.0,287830000000.0,0.0,,,51744000000.0,14301000000.0,,179000000.0,,66224000000.0,66224000000.0,,66224000000.0,354054000000.0
fun_59EPq0,com_NX6GzO,Apple Inc,320193.0,AAPL,,2021-09-25,,2021,FY,2022-10-27 22:01:14 +0000,34940000000.0,,27699000000.0,25228000000.0,26278000000.0,6580000000.0,,,14111000000.0,,134836000000.0,,,39440000000.0,127877000000.0,,,,,,48849000000.0,,176726000000.0,351002000000.0,15613000000.0,54763000000.0,,,,7612000000.0,,,,47493000000.0,,125481000000.0,109106000000.0,,,,,,53325000000.0,,162431000000.0,287912000000.0,0.0,,,57365000000.0,5562000000.0,,163000000.0,,63090000000.0,63090000000.0,,63090000000.0,351002000000.0
fun_DkL00D,com_5ydJXK,Amgen Inc,318154.0,AMGN,,2022-09-30,,2022,Q3,2022-11-03 23:24:04 +0000,9502000000.0,,1976000000.0,,5326000000.0,4757000000.0,,,2501000000.0,,24062000000.0,,,5188000000.0,,,14845000000.0,13266000000.0,,,6339000000.0,,34450000000.0,63700000000.0,1543000000.0,1204000000.0,11584000000.0,,,,,,,,,14331000000.0,37161000000.0,,,,5680000000.0,,2875000000.0,,45716000000.0,60047000000.0,0.0,,,32371000000.0,-28066000000.0,,-652000000.0,,3653000000.0,3653000000.0,,3653000000.0,63700000000.0
fun_qRwK5Q,com_5ydJXK,Amgen Inc,318154.0,AMGN,,2022-06-30,,2022,Q2,2022-08-04 23:53:42 +0000,5203000000.0,,1980000000.0,,5327000000.0,4554000000.0,,,2258000000.0,,19322000000.0,,,5158000000.0,,,14865000000.0,13927000000.0,,,6022000000.0,,34814000000.0,59294000000.0,817000000.0,1256000000.0,10545000000.0,,,,,,,,,12618000000.0,35705000000.0,,,,5603000000.0,,2949000000.0,,44257000000.0,56875000000.0,0.0,,,31343000000.0,-28252000000.0,,-672000000.0,,2419000000.0,2419000000.0,,2419000000.0,59294000000.0
