fundamental_id,company_id,name,cik,ticker,start_date,end_date,months,fiscal_year,fiscal_period,filing_date,revenuegrowth,nopatmargin,investedcapital,investedcapitalturnover,nopat,investedcapitalincreasedecrease,freecashflow,debttoebitda,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,ebitdamargin,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoequity,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,netincomeqoqgrowth,noncontrollinginterestsharingratio,normalizednopat,normalizednopatmargin,pretaxincomemargin,adjweightedavebasicdilutedsharesos,adjbasicdilutedeps,adjweightedavebasicsharesos,adjbasiceps,adjweightedavedilutedsharesos,adjdilutedeps,roe_simple
fun_JboENB,com_NX6GzO,Apple Inc,320193.0,AAPL,2022-06-26,2022-09-24,,2022,Q4,,0.081406,0.23207,1632000000.0,-733.6335,20920167660.3,4339000000.0,16581167660.3,0.9221,199167660.3,-49040000000.0,24657000000.0,2865000000.0,27522000000.0,3289000000.0,-45771000000.0,2533000000.0,-18577000000.0,120069000000.0,98959000000.0,-49040000000.0,170741000000.0,3.1531,3.1531,2451825733139.2,2402785733139.2,48.3862,48.3862,6.2177,24.5667,0.005993,0.040706,1472.2952,6.0934,18.4536,20.174,24.008,19.6706,25.096,0.048977,0.060607,-0.005061,0.008272,0.04065,0.194406,0.713181,1.602881,0.086633,0.063817,0.068976,0.075563,0.066667,0.053949,0.238563,2.080795,0.422592,0.276152,0.273523,0.22986,0.577408,0.07144,0.075001,0.14644,0.84037,1.0,0.15963,1.1206,14.4808,38.7899,9.67,3.7609,25.2057,9.4097,97.0504,-62.435,-1.0094,6.1862,6.1862,1.9529,,-0.003469,,,1.754593,58.666591,0.30652,0.25759,0.305305,1.754593,0.148703,1.044488,7.335664,0.123638,0.579585,0.703223,0.0,0.0,0.296777,2.3695,-0.3766,0.76,1.1997,-0.49,0.9888,6.143,,,,,,,,0.8794,0.7094,-0.116073,0.006424,-0.047111,0.065785,0.0,20920167660.3,0.23207,0.273523,15908118000.0,1.28,16215963000.0,1.28,16325819000.0,1.28,
fun_59kpv1,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2022-06-25,,2022,Q3YTD,,0.076914,0.26025,-1510000000.0,-85.3335,79163220528.1,6063000000.0,73100220528.1,0.9284,81220528.1,-59617000000.0,94446000000.0,8239000000.0,102685000000.0,7419000000.0,-40821000000.0,7410000000.0,-17581000000.0,119691000000.0,94700000000.0,-59617000000.0,177798000000.0,3.5901,3.5901,2296698255536.2,2237081255536.2,39.5253,39.5253,5.9263,23.0516,0.006302,0.043381,,5.7725,17.3522,19.0076,22.3327,18.9224,23.7715,0.08945,0.098733,0.077893,0.066816,0.096413,0.169207,0.009622,0.800607,-0.147197,-0.213073,-0.234679,-0.218143,-0.210526,-0.187247,-0.197263,0.717757,0.436209,0.310811,0.310492,0.259983,0.563791,0.061325,0.064073,0.125399,0.837325,1.0,0.162675,1.1635,19.7333,41.4063,9.8174,4.9504,18.4967,8.8151,73.7307,-46.419,-1.0742,5.443,5.443,1.6298,,-0.001236,,,1.628163,,0.361266,0.302497,0.337578,1.628163,0.148324,0.998665,13.212562,0.140558,0.532627,0.673185,0.0,0.0,0.326815,2.0598,-0.4624,0.7346,1.1949,-0.5952,0.9454,6.9917,,,,,,,,0.8646,0.6966,-0.105333,0.019121,-0.045365,-0.222631,0.0,79163220528.1,0.26025,0.310492,16070752000.0,4.89,16162945000.0,4.89,16262203000.0,4.89,
fun_035OM2,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-06-27,2022-06-25,,2022,Q3TTM,,0.116337,0.258477,-1510000000.0,-85.3335,100170554633.2,6063000000.0,94107554633.2,0.9284,537554633.2,-59617000000.0,117694000000.0,11228000000.0,128922000000.0,10642000000.0,-40821000000.0,7410000000.0,-17581000000.0,119691000000.0,94700000000.0,-59617000000.0,177798000000.0,3.5901,3.5901,2296698255536.2,2237081255536.2,39.5253,39.5253,5.9263,23.0516,0.006302,0.043381,,5.7725,17.3522,19.0076,22.3327,18.9224,23.7715,0.152561,0.166905,0.164659,0.147819,0.180077,0.132262,0.107545,0.800607,0.003951,-0.010211,-0.01095,-0.020454,-0.015974,0.015443,0.000482,0.717757,0.433143,0.305332,0.303694,0.25709,0.566857,0.062625,0.065185,0.127811,0.846543,1.0,0.153457,1.1635,19.7333,41.4063,9.8174,4.9504,18.4967,8.8151,73.7307,-46.419,-1.0742,5.443,5.443,1.6298,,-0.008178,,,1.628163,,0.353356,0.299131,0.332666,1.628163,0.148324,0.998665,11.10919,0.140558,0.532627,0.673185,0.0,0.0,0.326815,2.0598,-0.4624,0.7346,1.1949,-0.5952,0.9454,7.2198,,,,,,,,0.8646,0.6966,-0.105333,0.019121,-0.045365,-0.022583,0.0,100170554633.2,0.258477,0.303694,16070752000.0,6.16,16162945000.0,6.16,16262203000.0,6.16,1.714647
fun_VbxQe0,com_NX6GzO,Apple Inc,320193.0,AAPL,2022-03-27,2022-06-25,,2022,Q3,,0.018727,0.234458,-1510000000.0,-85.3335,19450428856.3,6063000000.0,13387428856.3,0.9284,8428856.3,-59617000000.0,23066000000.0,2805000000.0,25871000000.0,2102000000.0,-40821000000.0,7410000000.0,-17581000000.0,119691000000.0,94700000000.0,-59617000000.0,177798000000.0,3.5901,3.5901,2296698255536.2,2237081255536.2,39.5253,39.5253,5.9263,23.0516,0.006302,0.043381,,5.7725,17.3522,19.0076,22.3327,18.9224,23.7715,-0.048895,-0.05347,-0.096471,-0.105868,-0.076923,0.085238,-0.346578,0.800607,-0.147197,-0.213073,-0.234679,-0.218143,-0.210526,-0.187247,-0.197263,0.717757,0.432563,0.278162,0.278041,0.234357,0.567437,0.07247,0.081932,0.154402,0.842886,1.0,0.157114,1.1635,19.7333,41.4063,9.8174,4.9504,18.4967,8.8151,73.7307,-46.419,-1.0742,5.443,5.443,1.6298,,-0.000128,,,1.628163,,0.323509,0.272681,0.311853,1.628163,0.148324,0.998665,10.89058,0.140558,0.532627,0.673185,0.0,0.0,0.326815,2.0598,-0.4624,0.7346,1.1949,-0.5952,0.9454,6.2913,,,,,,,,0.8646,0.6966,-0.105333,0.019121,-0.045365,-0.222631,0.0,19450428856.3,0.234458,0.278041,16070752000.0,,16162945000.0,1.2,16262203000.0,1.2,1.714647
fun_95Lnd6,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2022-03-26,,2022,Q2YTD,,0.100486,0.269921,-5350000000.0,-40.8484,59712690949.8,8200000000.0,51512690949.8,0.9211,72690949.8,-72749000000.0,71380000000.0,5434000000.0,76814000000.0,5317000000.0,-44181000000.0,7330000000.0,-9328000000.0,119981000000.0,103323000000.0,-72749000000.0,187380000000.0,4.13,4.13,2853080126203.2,2780331126203.2,42.3312,42.3312,7.3911,27.9892,0.005059,0.035728,,7.2026,21.3458,23.3647,27.1883,23.8807,29.5584,0.145571,0.158954,0.150209,0.138494,0.169329,0.197437,-0.149291,0.605166,-0.215152,-0.251764,-0.269198,-0.285905,-0.27619,-0.40029,-0.343401,0.319858,0.437577,0.323054,0.322661,0.269592,0.562423,0.057146,0.057376,0.114522,0.835528,1.0,0.164472,1.1224,19.6356,40.975,10.0109,4.7148,18.5887,8.9079,77.4165,-49.92,-1.1384,5.0361,5.0361,1.533,,-0.000935,,,1.492711,,0.362166,0.3026,0.347224,1.492711,0.144543,0.985834,14.130525,0.0889,0.551409,0.640308,0.0,0.0,0.359692,1.7802,-0.5585,0.7933,1.1733,-0.7114,1.0104,7.8347,,,,,,,,0.9268,0.76,-0.114454,0.018989,-0.024165,-0.277794,0.0,59712690949.8,0.269921,0.322661,16185181000.0,3.66,16278802000.0,3.66,16403316000.0,3.66,
fun_4QBbrZ,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-03-28,2022-03-26,,2022,Q2TTM,,0.186263,0.264916,-5350000000.0,-40.8484,102262228165.4,8200000000.0,94062228165.4,0.9211,327228165.4,-72749000000.0,118997000000.0,11255000000.0,130252000000.0,10633000000.0,-44181000000.0,7330000000.0,-9328000000.0,119981000000.0,103323000000.0,-72749000000.0,187380000000.0,4.13,4.13,2853080126203.2,2780331126203.2,42.3312,42.3312,7.3911,27.9892,0.005059,0.035728,,7.2026,21.3458,23.3647,27.1883,23.8807,29.5584,0.29546,0.327677,0.351,0.335784,0.375824,0.169041,0.115384,0.605166,0.020337,0.016133,0.018208,0.016682,0.021207,0.037286,0.031992,0.319858,0.433222,0.309258,0.308269,0.264069,0.566778,0.061319,0.062645,0.123963,0.856618,1.0,0.143382,1.1224,19.6356,40.975,10.0109,4.7148,18.5887,8.9079,77.4165,-49.92,-1.1384,5.0361,5.0361,1.533,,-0.004209,,,1.492711,,0.346012,0.2964,0.337426,1.492711,0.144543,0.985834,10.949497,0.0889,0.551409,0.640308,0.0,0.0,0.359692,1.7802,-0.5585,0.7933,1.1733,-0.7114,1.0104,8.2828,,,,,,,,0.9268,0.76,-0.114454,0.018989,-0.024165,0.013724,0.0,102262228165.4,0.264916,0.308269,16185181000.0,6.26,16278802000.0,6.26,16403316000.0,6.26,1.512411
fun_25l8Ok,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-12-26,2022-03-26,,2022,Q2,,0.085886,0.255733,-5350000000.0,-40.8484,24877228507.9,8200000000.0,16677228507.900002,0.9211,-132771492.1,-72749000000.0,30139000000.0,2737000000.0,32876000000.0,2514000000.0,-44181000000.0,7330000000.0,-9328000000.0,119981000000.0,103323000000.0,-72749000000.0,187380000000.0,4.13,4.13,2853080126203.2,2780331126203.2,42.3312,42.3312,7.3911,27.9892,0.005059,0.035728,,7.2026,21.3458,23.3647,27.1883,23.8807,29.5584,0.067125,0.07597,0.072227,0.0584,0.085714,0.174513,-0.476209,0.605166,-0.215152,-0.251764,-0.269198,-0.285905,-0.27619,-0.40029,-0.343401,0.319858,0.437499,0.308179,0.309823,0.257098,0.562501,0.063663,0.065657,0.12932,0.829822,1.0,0.170178,1.1224,19.6356,40.975,10.0109,4.7148,18.5887,8.9079,77.4165,-49.92,-1.1384,5.0361,5.0361,1.533,,0.001708,,,1.492711,,0.347757,0.288576,0.337959,1.492711,0.144543,0.985834,11.20366,0.0889,0.551409,0.640308,0.0,0.0,0.359692,1.7802,-0.5585,0.7933,1.1733,-0.7114,1.0104,7.4466,,,,,,,,0.9268,0.76,-0.114454,0.018989,-0.024165,-0.277794,0.0,24877228507.9,0.255733,0.309823,16185181000.0,,16278802000.0,1.54,16403316000.0,1.52,1.512411
fun_VbGqon,com_NX6GzO,Apple Inc,320193.0,AAPL,2020-12-27,2021-12-25,,2022,Q1TTM,,0.286222,0.265869,-7866000000.0,-30.0614,100584253865.4,9438000000.0,91146253865.4,0.958,29253865.4,-79798000000.0,116869000000.0,11315000000.0,128184000000.0,10388000000.0,-42164000000.0,21749000000.0,5580000000.0,122798000000.0,106629000000.0,-79798000000.0,194730000000.0,4.3844,4.3844,2895217454813.8,2815419454813.8,40.2494,40.2494,7.6528,28.7924,0.004935,0.034731,,7.4418,21.9639,24.0904,27.9907,25.0837,30.889,0.496463,0.563423,0.583923,0.572892,0.625995,0.262255,0.273539,0.545423,0.034186,0.063847,0.07016,0.064876,0.092692,0.078846,0.096716,-1.9058,0.430191,0.309003,0.308913,0.265791,0.569809,0.060242,0.060945,0.121187,0.860408,1.0,0.139592,1.0291,13.2018,39.7404,9.8039,3.1195,27.6478,9.1846,117.0048,-80.1724,-1.1822,5.3218,5.3218,1.4824,,-0.000358,,,1.455673,,0.317905,0.273528,0.338822,1.455673,0.145055,0.957287,10.804871,0.083033,0.547574,0.630606,0.0,0.0,0.369394,1.7071,-0.6225,0.8318,1.2208,-0.7933,1.0601,7.6919,,,,,,,,1.0378,0.8753,-0.11145,0.057488,0.014749,0.062051,0.0,100584253865.4,0.265869,0.308913,16319441000.0,6.13,16391724000.0,6.13,16519291000.0,6.13,1.397917
fun_6GBl8p,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2021-12-25,,2022,Q1,,0.112223,0.281071,-7866000000.0,-30.0614,34837405494.5,9438000000.0,25399405494.5,0.958,207405494.5,-79798000000.0,41241000000.0,2697000000.0,43938000000.0,2803000000.0,-42164000000.0,21749000000.0,5580000000.0,122798000000.0,106629000000.0,-79798000000.0,194730000000.0,4.3844,4.3844,2895217454813.8,2815419454813.8,40.2494,40.2494,7.6528,28.7924,0.004935,0.034731,,7.4418,21.9639,24.0904,27.9907,25.0837,30.889,0.21225,0.228178,0.213151,0.204312,0.25,0.211619,-0.30947,0.545423,0.486864,0.674658,0.773959,0.656826,0.707317,1.32505,1.624289,-1.9058,0.437638,0.334729,0.332736,0.279398,0.562362,0.052031,0.050877,0.102909,0.839698,1.0,0.160302,1.0291,13.2018,39.7404,9.8039,3.1195,27.6478,9.1846,117.0048,-80.1724,-1.1822,5.3218,5.3218,1.4824,,-0.00254,,,1.455673,,0.342421,0.287531,0.354496,1.455673,0.145055,0.957287,16.755619,0.083033,0.547574,0.630606,0.0,0.0,0.369394,1.7071,-0.6225,0.8318,1.2208,-0.7933,1.0601,7.0372,,,,,,,,1.0378,0.8753,-0.11145,0.057488,0.014749,0.685076,0.0,34837405494.5,0.281071,0.332736,16319441000.0,,16391724000.0,2.11,16519291000.0,2.1,1.397917
fun_olOrwl,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2022-09-24,,2022,FY,,0.077938,0.253806,1632000000.0,-733.6335,100082877098.0,4339000000.0,95743877098.0,0.9221,279877098.0,-49040000000.0,119103000000.0,11104000000.0,130207000000.0,10708000000.0,-45771000000.0,2533000000.0,-18577000000.0,120069000000.0,98959000000.0,-49040000000.0,170741000000.0,3.1531,3.1531,2451825733139.2,2402785733139.2,48.3862,48.3862,6.2177,24.5667,0.005993,0.040706,1472.2952,6.0934,18.4536,20.174,24.008,19.6706,25.096,0.080637,0.090617,0.059568,0.054109,0.089127,0.1741,0.152037,1.602881,0.01751,0.009967,0.011972,-0.000875,-0.008117,0.033217,0.017388,2.080795,0.433096,0.302887,0.30204,0.253096,0.566904,0.063637,0.066571,0.130209,0.837955,1.0,0.162045,1.1206,14.4808,38.7899,9.67,3.7609,25.2057,9.4097,97.0504,-62.435,-1.0094,6.1862,6.1862,1.9529,,-0.004874,,,1.754593,58.666591,0.338478,0.283629,0.3302,1.754593,0.148703,1.044488,11.407452,0.123638,0.579585,0.703223,0.0,0.0,0.296777,2.3695,-0.3766,0.76,1.1997,-0.49,0.9888,7.0265,,,,,,,,0.8794,0.7094,-0.116073,0.006424,-0.047111,0.001706,0.0,100082877098.0,0.253806,0.30204,15908118000.0,,16215963000.0,6.15,16325819000.0,6.11,1.969589
