fundamental_id,company_id,name,cik,ticker,start_date,end_date,months,fiscal_year,fiscal_period,filing_date,netincome,netincomediscontinued,netincomecontinuing,depreciationexpense,amortizationexpense,noncashadjustmentstonetincome,increasedecreaseinoperatingcapital,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromoperatingactivities,purchaseofplantpropertyandequipment,acquisitions,purchaseofinvestments,saleofplantpropertyandequipment,divestitures,saleofinvestments,otherinvestingactivitiesnet,netcashfromcontinuinginvestingactivities,netcashfromdiscontinuedinvestingactivities,netcashfrominvestingactivities,repaymentofdebt,repurchaseofpreferredequity,repurchaseofcommonequity,paymentofdividends,issuanceofdebt,issuanceofpreferredequity,issuanceofcommonequity,otherfinancingactivitiesnet,netcashfromcontinuingfinancingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromfinancingactivities,effectofexchangeratechanges,othernetchangesincash,netchangeincash,cashinterestpaid,cashinterestreceived,cashincometaxespaid
fun_EbWv8o,com_NX6GzO,Apple Inc,320193.0,AAPL,2022-06-26,2022-09-24,3,2022,Q4,,20721000000.0,,20721000000.0,2865000000.0,,2450000000.0,-1909000000.0,24127000000.0,,24127000000.0,-3289000000.0,-137000000.0,-6745000000.0,,,9551000000.0,-597000000.0,-1217000000.0,,-1217000000.0,1150000000.0,,-24428000000.0,-3703000000.0,495000000.0,,,-308000000.0,-26794000000.0,,-26794000000.0,,,-3884000000.0,955000000.0,,7322000000.0
fun_N8P75r,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2022-06-25,9,2022,Q3YTD,2022-07-28 22:06:56 +0000,79082000000.0,,79082000000.0,8239000000.0,,6699000000.0,4004000000.0,98024000000.0,,98024000000.0,-7419000000.0,-169000000.0,-70178000000.0,,,57812000000.0,-1183000000.0,-21137000000.0,,-21137000000.0,-6898000000.0,,-64974000000.0,-11138000000.0,4970000000.0,,,-5915000000.0,-83955000000.0,,-83955000000.0,,,-7068000000.0,1910000000.0,,12251000000.0
fun_MeY7aG,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-06-27,2022-06-25,12,2022,Q3TTM,,99633000000.0,,99633000000.0,11228000000.0,,9186000000.0,-1823000000.0,118224000000.0,,118224000000.0,-10642000000.0,-189000000.0,-85684000000.0,,,77670000000.0,-1457000000.0,-20302000000.0,,-20302000000.0,-7661000000.0,,-84722000000.0,-14778000000.0,9440000000.0,,,-6616000000.0,-104337000000.0,,-104337000000.0,,,-6415000000.0,2727000000.0,,19100000000.0
fun_DkpBln,com_NX6GzO,Apple Inc,320193.0,AAPL,2022-03-27,2022-06-25,3,2022,Q3,,19442000000.0,,19442000000.0,2805000000.0,,2202000000.0,-1557000000.0,22892000000.0,,22892000000.0,-2102000000.0,-2000000.0,-8191000000.0,,,15144000000.0,-615000000.0,4234000000.0,,4234000000.0,-3043000000.0,,-21865000000.0,-3811000000.0,3971000000.0,,,-2697000000.0,-27445000000.0,,-27445000000.0,,,-319000000.0,504000000.0,,2950000000.0
fun_ol98RZ,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2022-03-26,6,2022,Q2YTD,2022-04-28 22:03:58 +0000,59640000000.0,,59640000000.0,5434000000.0,,4497000000.0,5561000000.0,75132000000.0,,75132000000.0,-5317000000.0,-167000000.0,-61987000000.0,,,42668000000.0,-568000000.0,-25371000000.0,,-25371000000.0,-3855000000.0,,-43109000000.0,-7327000000.0,999000000.0,,,-3218000000.0,-56510000000.0,,-56510000000.0,,,-6749000000.0,1406000000.0,,9301000000.0
fun_88vDx7,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-03-28,2022-03-26,12,2022,Q2TTM,,101935000000.0,,101935000000.0,11255000000.0,,8729000000.0,-5493000000.0,116426000000.0,,116426000000.0,-10633000000.0,-191000000.0,-97121000000.0,,,87901000000.0,-920000000.0,-20964000000.0,,-20964000000.0,-7652000000.0,,-85757000000.0,-14734000000.0,8469000000.0,,,-6614000000.0,-106288000000.0,,-106288000000.0,,,-10826000000.0,2766000000.0,,24410000000.0
fun_wWeDnA,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-12-26,2022-03-26,3,2022,Q2,,25010000000.0,,25010000000.0,2737000000.0,,2065000000.0,-1646000000.0,28166000000.0,,28166000000.0,-2514000000.0,,-27074000000.0,,,20684000000.0,-194000000.0,-9265000000.0,,-9265000000.0,-2794000000.0,,-22631000000.0,-3595000000.0,999000000.0,,,-330000000.0,-28351000000.0,,-28351000000.0,,,-9450000000.0,875000000.0,,4066000000.0
fun_1ER5Dr,com_NX6GzO,Apple Inc,320193.0,AAPL,2020-12-27,2021-12-25,12,2022,Q1TTM,,100555000000.0,,100555000000.0,11315000000.0,,8146000000.0,-7775000000.0,112241000000.0,,112241000000.0,-10388000000.0,,-104671000000.0,,,93946000000.0,-921000000.0,-22067000000.0,,-22067000000.0,-7813000000.0,,-81674000000.0,-14586000000.0,21393000000.0,,,-6583000000.0,-89263000000.0,,-89263000000.0,,,911000000.0,2599000000.0,,28833000000.0
fun_N8WLA0,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2021-12-25,3,2022,Q1,2022-01-27 23:00:58 +0000,34630000000.0,,34630000000.0,2697000000.0,,2432000000.0,7207000000.0,46966000000.0,,46966000000.0,-2803000000.0,,-34913000000.0,,,21984000000.0,-374000000.0,-16106000000.0,,-16106000000.0,-1061000000.0,,-20478000000.0,-3732000000.0,0.0,,0.0,-2888000000.0,-28159000000.0,,-28159000000.0,,,2701000000.0,531000000.0,,5235000000.0
fun_VbDRAk,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2022-09-24,12,2022,FY,2022-10-27 22:01:14 +0000,99803000000.0,,99803000000.0,11104000000.0,,9149000000.0,2095000000.0,122151000000.0,,122151000000.0,-10708000000.0,-306000000.0,-76923000000.0,,,67363000000.0,-1780000000.0,-22354000000.0,,-22354000000.0,-5748000000.0,,-89402000000.0,-14841000000.0,5465000000.0,,,-6223000000.0,-110749000000.0,,-110749000000.0,,,-10952000000.0,2865000000.0,,19573000000.0
fun_olpwRe,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-06-27,2021-09-25,3,2021,Q4,,20551000000.0,,20551000000.0,2989000000.0,,2487000000.0,-5827000000.0,20200000000.0,,20200000000.0,-3223000000.0,-20000000.0,-15506000000.0,,,19858000000.0,-274000000.0,835000000.0,,835000000.0,-763000000.0,,-19748000000.0,-3640000000.0,4470000000.0,,,-701000000.0,-20382000000.0,,-20382000000.0,,,653000000.0,817000000.0,,6849000000.0
fun_dKq70E,com_NX6GzO,Apple Inc,320193.0,AAPL,2020-09-27,2021-06-26,9,2021,Q3YTD,2022-07-28 22:06:56 +0000,74129000000.0,,74129000000.0,8295000000.0,,5272000000.0,-3858000000.0,83838000000.0,,83838000000.0,-7862000000.0,-13000000.0,-94052000000.0,,,86625000000.0,-78000000.0,-15380000000.0,,-15380000000.0,-7011000000.0,,-66223000000.0,-10827000000.0,16945000000.0,,,-5855000000.0,-72971000000.0,,-72971000000.0,,,-4513000000.0,1870000000.0,,18536000000.0
fun_qRrwMq,com_NX6GzO,Apple Inc,320193.0,AAPL,2020-06-28,2021-06-26,12,2021,Q3TTM,,86802000000.0,,86802000000.0,10997000000.0,,6993000000.0,-378000000.0,104414000000.0,,104414000000.0,-9646000000.0,-64000000.0,-112384000000.0,,,112391000000.0,-146000000.0,-9849000000.0,,-9849000000.0,-6137000000.0,,-83410000000.0,-14338000000.0,16242000000.0,,,-6255000000.0,-94328000000.0,,-94328000000.0,,,237000000.0,2597000000.0,,19627000000.0
fun_Jbnv0q,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-03-28,2021-06-26,3,2021,Q3,,21744000000.0,,21744000000.0,2832000000.0,,1745000000.0,-5227000000.0,21094000000.0,,21094000000.0,-2093000000.0,-4000000.0,-19628000000.0,,,25375000000.0,-78000000.0,3572000000.0,,3572000000.0,-3034000000.0,,-22900000000.0,-3767000000.0,3000000000.0,,,-2695000000.0,-29396000000.0,,-29396000000.0,,,-4730000000.0,543000000.0,,8260000000.0
fun_JbMaDV,com_NX6GzO,Apple Inc,320193.0,AAPL,2020-09-27,2021-03-27,6,2021,Q2YTD,2022-04-28 22:03:58 +0000,52385000000.0,,52385000000.0,5463000000.0,,3527000000.0,1369000000.0,62744000000.0,,62744000000.0,-5769000000.0,-9000000.0,-74424000000.0,,,61250000000.0,0.0,-18952000000.0,,-18952000000.0,-3977000000.0,,-43323000000.0,-7060000000.0,13945000000.0,,,-3160000000.0,-43575000000.0,,-43575000000.0,,,217000000.0,1327000000.0,,10276000000.0
fun_jvxp5w,com_NX6GzO,Apple Inc,320193.0,AAPL,2020-03-29,2021-03-27,12,2021,Q2TTM,,76311000000.0,,76311000000.0,10917000000.0,,7111000000.0,5252000000.0,99591000000.0,,99591000000.0,-9118000000.0,-399000000.0,-122873000000.0,,,114141000000.0,-337000000.0,-18586000000.0,,-18586000000.0,-10551000000.0,,-76401000000.0,-14227000000.0,22789000000.0,,,-5228000000.0,-84048000000.0,,-84048000000.0,,,-3043000000.0,2640000000.0,,12272000000.0
fun_kpxmKP,com_NX6GzO,Apple Inc,320193.0,AAPL,2020-12-27,2021-03-27,3,2021,Q2,,23630000000.0,,23630000000.0,2797000000.0,,1482000000.0,-3928000000.0,23981000000.0,,23981000000.0,-2269000000.0,,-34624000000.0,,,26729000000.0,-195000000.0,-10368000000.0,,-10368000000.0,-2955000000.0,,-18548000000.0,-3447000000.0,13923000000.0,,,-299000000.0,-11326000000.0,,-11326000000.0,,,2287000000.0,708000000.0,,8489000000.0
fun_jvp940,com_NX6GzO,Apple Inc,320193.0,AAPL,2019-12-29,2020-12-26,12,2021,Q1TTM,,63930000000.0,,63930000000.0,10906000000.0,,7209000000.0,6876000000.0,88921000000.0,,88921000000.0,-8702000000.0,,-117322000000.0,,,127892000000.0,-507000000.0,795000000.0,,795000000.0,-10902000000.0,,-76427000000.0,-14155000000.0,12940000000.0,,,-5116000000.0,-93662000000.0,,-93662000000.0,,,-3946000000.0,2850000000.0,,6895000000.0
