fundamental_id,company_id,name,cik,ticker,start_date,end_date,months,fiscal_year,fiscal_period,filing_date,operatingrevenue,otherrevenue,totalrevenue,operatingcostofrevenue,othercostofrevenue,totalcostofrevenue,totalgrossprofit,sgaexpense,marketingexpense,rdexpense,explorationexpense,depreciationexpense,amortizationexpense,depletionexpense,otheroperatingexpenses,impairmentexpense,restructuringcharge,otherspecialcharges,totaloperatingexpenses,totalcostsandexpenses,totaloperatingincome,totalinterestexpense,totalinterestincome,otherincome,totalotherincome,totalpretaxincome,incometaxexpense,othergains,netincomecontinuing,netincomediscontinued,extraordinaryincome,otheradjustmentstoconsolidatednetincome,netincome,preferreddividends,netincometononcontrollinginterest,otheradjustmentstonetincometocommon,netincometocommon,weightedavebasicsharesos,basiceps,weightedavedilutedsharesos,dilutedeps,cashdividendspershare
fun_OrxGvb,com_NX6GzO,Apple Inc,320193.0,AAPL,2022-06-26,2022-09-24,3,2022,Q4,,90146000000.0,,90146000000.0,52051000000.0,,52051000000.0,38095000000.0,6440000000.0,,6761000000.0,,,,,,,,,13201000000.0,,24894000000.0,,,-237000000.0,-237000000.0,24657000000.0,3936000000.0,,20721000000.0,,,,20721000000.0,,,,20721000000.0,16215963000.0,1.28,16325819000.0,1.28,0.23
fun_eoG7eq,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2022-06-25,9,2022,Q3YTD,,304182000000.0,,304182000000.0,171495000000.0,,171495000000.0,132687000000.0,18654000000.0,,19490000000.0,,,,,,,,,38144000000.0,,94543000000.0,,,-97000000.0,-97000000.0,94446000000.0,15364000000.0,,79082000000.0,,,,79082000000.0,,,,79082000000.0,16162945000.0,4.89,16262203000.0,4.89,0.69
fun_7KVkWO,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-06-27,2022-06-25,12,2022,Q3TTM,,387542000000.0,,387542000000.0,219681000000.0,,219681000000.0,167861000000.0,24270000000.0,,25262000000.0,,,,,,,,,49532000000.0,,118329000000.0,,,-635000000.0,-635000000.0,117694000000.0,18061000000.0,,99633000000.0,,,,99633000000.0,,,,99633000000.0,16162945000.0,6.16,16262203000.0,6.16,0.91
fun_jv3WeG,com_NX6GzO,Apple Inc,320193.0,AAPL,2022-03-27,2022-06-25,3,2022,Q3,2022-07-28 22:06:56 +0000,82959000000.0,,82959000000.0,47074000000.0,,47074000000.0,35885000000.0,6012000000.0,,6797000000.0,,,,,,,,,12809000000.0,,23076000000.0,,,-10000000.0,-10000000.0,23066000000.0,3624000000.0,,19442000000.0,,,,19442000000.0,,,,19442000000.0,16162945000.0,1.2,16262203000.0,1.2,0.23
fun_alqowe,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2022-03-26,6,2022,Q2YTD,,221223000000.0,,221223000000.0,124421000000.0,,124421000000.0,96802000000.0,12642000000.0,,12693000000.0,,,,,,,,,25335000000.0,,71467000000.0,,,-87000000.0,-87000000.0,71380000000.0,11740000000.0,,59640000000.0,,,,59640000000.0,,,,59640000000.0,16278802000.0,3.66,16403316000.0,3.66,0.45
fun_ZYWvr4,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-03-28,2022-03-26,12,2022,Q2TTM,,386017000000.0,,386017000000.0,218786000000.0,,218786000000.0,167231000000.0,23670000000.0,,24182000000.0,,,,,,,,,47852000000.0,,119379000000.0,,,-382000000.0,-382000000.0,118997000000.0,17062000000.0,,101935000000.0,,,,101935000000.0,,,,101935000000.0,16278802000.0,6.26,16403316000.0,6.26,0.91
fun_YnL6k2,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-12-26,2022-03-26,3,2022,Q2,2022-04-28 22:03:58 +0000,97278000000.0,,97278000000.0,54719000000.0,,54719000000.0,42559000000.0,6193000000.0,,6387000000.0,,,,,,,,,12580000000.0,,29979000000.0,,,160000000.0,160000000.0,30139000000.0,5129000000.0,,25010000000.0,,,,25010000000.0,,,,25010000000.0,16278802000.0,1.54,16403316000.0,1.52,0.22
fun_Q8EPW1,com_NX6GzO,Apple Inc,320193.0,AAPL,2020-12-27,2021-12-25,12,2022,Q1TTM,,378323000000.0,,378323000000.0,215572000000.0,,215572000000.0,162751000000.0,22791000000.0,,23057000000.0,,,,,,,,,45848000000.0,,116903000000.0,,,-34000000.0,-34000000.0,116869000000.0,16314000000.0,,100555000000.0,,,,100555000000.0,,,,100555000000.0,16391724000.0,6.13,16519291000.0,6.13,0.89
fun_jvd9bV,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2021-12-25,3,2022,Q1,2022-01-27 23:00:58 +0000,123945000000.0,,123945000000.0,69702000000.0,,69702000000.0,54243000000.0,6449000000.0,,6306000000.0,,,,,,,,,12755000000.0,,41488000000.0,,,-247000000.0,-247000000.0,41241000000.0,6611000000.0,,34630000000.0,,,,34630000000.0,,,,34630000000.0,16391724000.0,2.11,16519291000.0,2.1,0.22
fun_bWZqPb,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-09-26,2022-09-24,12,2022,FY,2022-10-27 22:01:14 +0000,394328000000.0,,394328000000.0,223546000000.0,,223546000000.0,170782000000.0,25094000000.0,,26251000000.0,,,,,,,,,51345000000.0,,119437000000.0,,,-334000000.0,-334000000.0,119103000000.0,19300000000.0,,99803000000.0,,,,99803000000.0,,,,99803000000.0,16215963000.0,6.15,16325819000.0,6.11,0.9
fun_Jb5ND6,com_NX6GzO,Apple Inc,320193.0,AAPL,2021-06-27,2021-09-25,3,2021,Q4,,83360000000.0,,83360000000.0,48186000000.0,,48186000000.0,35174000000.0,5616000000.0,,5772000000.0,,,,,,,,,11388000000.0,,23786000000.0,,,-538000000.0,-538000000.0,23248000000.0,2697000000.0,,20551000000.0,,,,20551000000.0,,,,20551000000.0,16701272000.0,1.23,16864919000.0,1.23,0.22
fun_pR03vR,com_NX6GzO,Apple Inc,320193.0,AAPL,2020-09-27,2021-06-26,9,2021,Q3YTD,,282457000000.0,,282457000000.0,164795000000.0,,164795000000.0,117662000000.0,16357000000.0,,16142000000.0,,,,,,,,,32499000000.0,,85163000000.0,,,796000000.0,796000000.0,85959000000.0,11830000000.0,,74129000000.0,,,,74129000000.0,,,,74129000000.0,16629371000.0,4.46,16781735000.0,4.46,0.65
fun_GrbjR1,com_NX6GzO,Apple Inc,320193.0,AAPL,2020-06-28,2021-06-26,12,2021,Q3TTM,,347155000000.0,,347155000000.0,204804000000.0,,204804000000.0,142351000000.0,21293000000.0,,21120000000.0,,,,,,,,,42413000000.0,,99938000000.0,,,922000000.0,922000000.0,100860000000.0,14058000000.0,,86802000000.0,,,,86802000000.0,,,,86802000000.0,16629371000.0,5.22,16781735000.0,5.22,0.86
